"policyID","policyName","policyTypeID","IsMedicarePolicy","createdAt","createdBy","updatedAt","updatedBy","contractID"
4451,"RCS - LA PAZ RX",9,False,"2023-12-12 20:02:20.901618+00",NULL,"2023-12-12 20:08:46.710639+00",NULL,2568
4450,"RCS - NORTHERN LIGHT PHARMACY DOWNEAST",9,False,"2023-12-12 19:59:33.197173+00",NULL,"2023-12-12 20:05:54.047253+00",NULL,2567
4452,"RCS - CAN COMM HEALTH INC 340B ST",9,False,"2023-12-12 20:09:07.158791+00",NULL,"2023-12-12 20:09:07.158791+00",NULL,2569
2969,"RCS - Harmon's Drug Store - PALESTINE",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1090
2839,"RCS - FARMACIA VENUS",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,960
2913,"RCS - GILBERT SALINAS PHARMACY, HARLINGEN",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1034
2937,"RCS - Greenbrier Med. Arts Pharmacy",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1058
2711,"RCS - Eminence Apothecary, EMINENCE",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,832
4453,"RCS - GOODNESS PHARMACY",9,False,"2023-12-12 20:10:03.181535+00",NULL,"2023-12-12 20:10:03.181535+00",NULL,2570
3011,"RCS - Highland Pharmacy at Jordan Health Center",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1132
2993,"RCS - Healthplus and Pharmacy at JMH",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1114
2892,"RCS - GANSE APOTHECARY INC., LANCASTER",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1013
2714,"RCS - ENCINO CARE PHARMACY",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,835
2983,"RCS - HEALTH GUARD PHARMACY, LOS ANGELES",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1104
2984,"RCS - HEALTH INNOVATIONS #3, LAURINBURG",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1105
2731,"RCS - Express Pharmacy",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,852
2724,"RCS - EVERETTS PHARMACY, SAN SABA",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,845
2921,"RCS - Gloyer's Legend  Pharmacy",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1042
3003,"RCS - Heritage Pharmacy",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1124
2826,"RCS - FARMACIA SAN MARTIN BARCELONETA",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,947
2858,"RCS - Flagstaff Pharmacy",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,979
2901,"RCS - Gauley River Pharmacy, Craigsville",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1022
2814,"RCS - Farmacia Pabon, Salinas",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,935
2895,"RCS - GARFIELD HEALTHCARE PHARMACY, JERSEY CITY",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,1016
2721,"RCS - ESQUIRE PHARMACY",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,842
2801,"RCS - FARMACIA LA MONSERRATE, SALINAS",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,922
2787,"RCS - FARMACIA EL TUQUE, PONCE",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,908
2710,"RCS - EMES PHARMACY",9,False,"2023-11-30 04:33:03.31376+00",NULL,"2023-11-30 04:33:03.31376+00",NULL,831
