policyID,policyName,clientID,connectActive,centerID,PolicyCentreActiveFrom,PolicyCentreActiveTill
298,HUMANA MED ADHERENCE - INTERNAL,72,1,55073,1900-01-01,NULL
364,UIC-PQA STUDY (HUMANA TELEPHONIC),72,0,55073,1900-01-01,NULL
363,UIC-PQA STUDY (SUPERVALU),72,0,112875,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,3798,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4135,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4136,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4178,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4179,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4300,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,4301,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,2661,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,2865,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29731,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29735,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29736,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29737,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29738,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29741,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29743,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29744,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29745,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29746,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29748,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29749,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29751,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29752,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29753,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29756,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29758,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29759,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29761,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29766,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29767,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29768,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29770,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29773,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,29774,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,55156,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,55157,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,69155,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,72461,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,72462,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,72467,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,72468,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,72927,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73449,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73469,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73619,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73628,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73873,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73877,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73880,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,73886,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,74754,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,74766,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,74787,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,74790,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75400,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75404,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75681,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75724,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75730,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,75736,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,76844,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,80610,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,80611,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,82781,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,86238,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,89244,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,96495,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,99083,1900-01-01,NULL
