1,CAREPRO HEALTH SERVICES,64
10,Outcomes Sample Policy 1,92
20,Outcomes Sample Policy 2,93
22,CITY OF AMES EMPLOYEES,67
30,Care Connections Fuse,92
62,MERCY - MEDICAID PHARMACEUTICAL CASE MANAGEMENT,78
97,IOWA PHARMACEUTICAL CASE MANAGEMENT,78
142,MEDI-CAREFIRST PDP,63
147,HEALTH PLAN OF SAN MATEO - CAREADVANTAGE,70
168,PARTNERSHIP HEALTH PLAN,81
196,CHECKMEDS NC,66
224,SENIOR WHOLE HEALTH MEDICARE,85
225,COP-College of Pharmacy,11
232,ALAMEDA ALLIANCE FOR HEALTH - MEDICARE PART D,57
242,MEDICA MEDICARE PART D MEMBERS,76
249,MERCY MEDICAL CENTER - DUBUQUE,78
252,CARESOURCE - MID ROGUE MEDICARE PART D,79
253,SECURITY HEALTH-ADVOCARE MEDICARE PART D PLANS,84
255,LA CARE SNP MEDICARE PART D,75
257,HUMANA MTM,72
258,HUMANA COMMERCIAL,72
259,HUMANA ASO,72
260,HUMANA REFERRING PROGRAMS,72
261,GOODSTART FOR LIPITOR,95
262,CAREPLUS MTM,72
263,NATIONWIDE NORTHLAND ASTHMA,98
264,NATIONWIDE WESTSIDE ASTHMA,98
265,NATIONWIDE EMPLOYEE DIABETES,98
266,NATIONWIDE DISCHARGE TEACHING,98
267,NATIONWIDE IDC,98
270,COMMUNITY HEALTH GROUP,69
271,ICARE - INDEPENDENT CARE HEALTH PLAN,73
276,ATRIO HEALTH,59
277,HAWAII EMPLOYER-UNION HEALTH BENEFITS TRUST FUND MEDICARE,74
278,FRESNO CITY EMPLOYEES HEALTH & WELFARE TRUST MEDICARE,74
280,SANTA FE EMPLOYES HOSPITAL ASSOCIATION-COAST LINES MEDICARE,74
281,C&O EMPLOYEES HOSPITAL ASSOCIATION MEDICARE,74
287,NATIONWIDE ANTICOAGULATION SERVICE,98
288,GOODSTART FOR NOVOLOG,95
289,HMSA BCBS OF HAWAII,71
290,AMERICAS 1ST CHOICE OF NC- SPECTRAL SOLUTIONS,86
291,FREEDOM HEALTH- SPECTRAL SOLUTIONS,86
292,OPTIMUM HEALTHCARE-SPECTRAL SOLUTIONS,86
293,AMERICAS 1ST CHOICE OF SC- SPECTRAL SOLUTIONS,86
294,SECURITY HEALTH OF WI COMMERCIAL POPULATION,84
295,COMMONWEALTH CARE ALLIANCE PART D,68
297,GOODSTART FOR LEVEMIR,95
298,HUMANA MED ADHERENCE - INTERNAL,72
299,NATIONWIDE PRIMARY CARE RED/YELLOW,98
307,PS-LEHAN GROUP,99
308,NATIONWIDE SOUTH HIGH CLINIC,98
309,NATIONWIDE CF CLINIC,98
315,HUMANA FOCUSED COMMERCIAL (LIMITED MTMS),72
316,HUMANA FOCUSED PART D (LIMITED MTMS),72
317,HUMANA PREFERRED RX MTM,72
318,PRIORITY HEALTH,83
319,PACIFICSOURCE MEDICARE,80
320,HUMANA PART D,72
321,HUMANA PREFERRED RX,72
323,HUMANA PUERTO RICO,72
324,HUMANA FOCUSED PREFERRED RX (LIMITED MTMS),72
325,HEALTH PLAN OF SAN MATEO - REFERRALS,70
326,CONSOLIDATED ASSOCIATIONS OF RAILROAD EMPLOYEES,74
337,AURORA MTM PROGRAM,61
338,CAREFIRST COMMERCIAL POPULATION,63
343,STERLING CONNECT 1,96
350,PRIMETIME HEALTH PLAN PPO,60
351,PRIMETIME HEALTH PLAN HMO,60
352,GOODSTART FOR FREESTYLE,95
353,LITTLE COMPANY OF MARY,100
356,AULTCARE HMO,60
357,BCBS ND COMMERCIAL POPULATION,62
358,PRIMETIME PRESCRIPTION DRUG PLAN,60
359,WINDSOR MAPD,88
360,WINDSOR STERLING MAPD,88
361,WINDSOR PDP,88
362,WINDSOR FRESENIUS,88
363,UIC-PQA STUDY (SUPERVALU),72
364,UIC-PQA STUDY (HUMANA TELEPHONIC),72
366,EASY CHOICE HEALTH PLAN OF NEW YORK- SPECTRAL SOLUTIONS,86
367,TPA - TEXAS MEDICAID,104
368,PLUMBERS LOCAL 562,74
369,UPMC HEALTH PLAN,87
370,ALAMEDA ALLIANCE FOR HEALTH - SPD,57
372,ALLINA HEALTH SYSTEM,58
374,DHS-HH,96
375,U-PLAN,96
376,DAILYMED,96
378,CARESOURCE MEDICAID,65
379,CARESOURCE MEDICARE,65
381,ALBANY NEPHROLOGY PHARMACY GROUP,97
382,PS-WIMEDICAID,96
383,HEALTH PARTNERS MEDICAID,89
