"policyConfigID","policyID","addUnlistedPatient","QA","insightActive","connectActive","validFrom","validTill"
60,324,True,True,False,False,"1900-01-01",NULL
72,358,True,True,False,False,"1900-01-01",NULL
77,363,True,False,False,False,"1900-01-01",NULL
121,418,True,True,True,False,"1900-01-01",NULL
124,423,True,True,True,False,"1900-01-01",NULL
182,518,True,True,True,False,"1900-01-01",NULL
234,319,True,True,True,False,"2015-01-07",NULL
236,232,True,True,True,False,"2015-01-07",NULL
237,547,True,True,True,False,"2015-01-07",NULL
242,399,True,True,False,False,"2015-01-01",NULL
244,403,True,True,False,False,"2015-01-01",NULL
245,425,True,True,False,False,"2015-01-01",NULL
246,426,True,True,False,False,"2015-01-01",NULL
247,431,True,True,False,False,"2015-01-01",NULL
248,433,True,True,False,False,"2015-01-01",NULL
259,255,True,True,True,False,"2015-01-07",NULL
261,290,True,True,True,False,"2015-01-07",NULL
263,379,True,True,True,False,"2015-01-07",NULL
265,441,True,True,True,False,"2015-01-07",NULL
266,442,True,True,True,False,"2015-01-07",NULL
267,443,True,True,True,False,"2015-01-07",NULL
273,502,True,True,True,False,"2015-01-07",NULL
275,509,True,True,True,False,"2015-01-07",NULL
278,521,True,True,True,False,"2015-01-07",NULL
294,270,True,True,True,False,"2015-01-13",NULL
298,539,True,True,True,False,"2015-01-13",NULL
299,421,True,True,True,False,"2015-01-13",NULL
311,316,True,True,False,False,"2015-01-30",NULL
342,350,True,True,True,False,"2015-03-11",NULL
412,320,True,True,False,False,"2015-07-25",NULL
423,432,True,True,False,False,"2015-08-08",NULL
494,594,True,True,True,False,"2015-11-26",NULL
511,276,True,True,False,False,"2015-12-16",NULL
534,554,True,True,True,False,"2016-01-01",NULL
535,444,True,True,True,False,"2016-01-01",NULL
537,556,True,True,True,False,"2016-01-01",NULL
538,557,True,True,True,False,"2016-01-01",NULL
539,600,True,True,True,False,"2016-01-01",NULL
540,571,True,True,True,False,"2016-01-01",NULL
548,445,True,True,True,False,"2016-01-05",NULL
584,366,True,True,True,False,"2016-01-09",NULL
602,596,True,True,True,False,"2016-01-15",NULL
605,593,True,True,True,False,"2016-01-15",NULL
635,567,False,True,True,False,"2016-01-20",NULL
637,450,True,True,True,False,"2016-01-20",NULL
641,540,True,True,True,False,"2016-01-20",NULL
642,611,True,True,True,False,"2016-01-20",NULL
643,544,True,True,True,False,"2016-01-20",NULL
644,542,True,True,True,False,"2016-01-20",NULL
645,543,True,True,True,False,"2016-01-20",NULL
649,545,True,True,True,False,"2016-01-21",NULL
650,541,True,True,True,False,"2016-01-20",NULL
651,609,True,True,True,False,"2016-01-20",NULL
657,454,True,True,True,False,"2016-01-20",NULL
658,453,True,True,True,False,"2016-01-20",NULL
669,513,True,True,True,False,"2016-01-22",NULL
670,512,True,True,True,False,"2016-01-22",NULL
674,546,True,True,True,False,"2016-01-23",NULL
684,526,True,True,True,False,"2016-02-04",NULL
689,362,True,True,False,False,"2016-02-06",NULL
690,359,True,True,False,False,"2016-02-06",NULL
691,361,True,True,False,False,"2016-02-06",NULL
702,612,True,True,True,False,"2016-02-06",NULL
703,257,True,True,True,False,"2016-02-06",NULL
704,574,False,True,True,False,"2016-02-06",NULL
705,575,False,True,True,False,"2016-02-06",NULL
706,298,False,True,True,False,"2016-02-06",NULL
741,507,True,True,True,False,"2016-03-25",NULL
755,561,True,True,True,False,"2016-04-01",NULL
889,597,True,True,True,False,"2016-07-21",NULL
915,697,True,True,True,False,"2016-08-27",NULL
916,712,True,True,True,False,"2016-08-31",NULL
917,719,True,True,True,False,"2016-08-31",NULL
930,675,True,True,True,False,"2016-09-22",NULL
931,684,True,True,True,False,"2016-09-22",NULL
940,729,False,True,True,False,"2016-09-20",NULL
959,532,True,True,True,False,"2016-10-14",NULL
961,529,True,True,True,False,"2016-10-14",NULL
962,522,True,True,True,False,"2016-10-14",NULL
963,503,True,True,True,False,"2016-10-14",NULL
964,590,True,True,True,False,"2016-10-14",NULL
966,535,True,True,True,False,"2016-10-14",NULL
967,534,True,True,True,False,"2016-10-14",NULL
968,434,True,True,True,False,"2016-10-14",NULL
969,528,True,True,True,False,"2016-10-15",NULL
1008,637,True,True,True,False,"2017-01-01",NULL
1009,638,True,True,True,False,"2017-01-01",NULL
1054,709,True,True,True,False,"2017-01-01",NULL
1056,714,True,True,True,False,"2017-01-01",NULL
1109,560,True,True,True,False,"2017-01-01",NULL
1110,620,True,True,True,False,"2017-01-01",NULL
1111,566,False,True,True,False,"2017-01-01",NULL
1114,514,True,True,True,False,"2017-01-01",NULL
1115,515,True,True,True,False,"2017-01-01",NULL
1117,516,True,True,True,False,"2017-01-01",NULL
1118,519,True,True,True,False,"2017-01-01",NULL
1123,740,True,True,True,False,"2017-01-01",NULL
1125,742,True,True,True,False,"2017-01-01",NULL
1128,242,True,True,True,False,"2017-01-01",NULL
1349,565,True,True,True,False,"2017-04-25",NULL
1350,564,False,True,True,False,"2017-04-25",NULL
1351,563,False,True,True,False,"2017-04-25",NULL
1352,628,False,True,True,False,"2017-04-25",NULL
1549,810,True,True,True,False,"2018-01-01",NULL
1551,728,False,True,True,False,"2018-01-01",NULL
1552,730,False,True,True,False,"2018-01-01",NULL
1558,658,True,True,True,False,"2018-01-01",NULL
1561,640,True,True,True,False,"2018-01-01",NULL
1562,604,True,True,True,False,"2018-01-01",NULL
1563,646,True,True,True,False,"2018-01-01",NULL
1564,641,True,True,True,False,"2018-01-01",NULL
1565,654,True,True,True,False,"2018-01-01",NULL
1669,670,True,True,True,False,"2018-01-01",NULL
1670,669,True,True,True,False,"2018-01-01",NULL
1713,673,True,True,True,False,"2018-01-01",NULL
1714,623,True,True,True,False,"2018-01-01",NULL
1715,630,True,True,True,False,"2018-01-01",NULL
1717,460,True,True,True,False,"2018-01-01",NULL
1718,631,True,True,True,False,"2018-01-01",NULL
1723,662,True,True,True,False,"2018-01-03",NULL
1965,417,True,True,True,False,"2018-03-06",NULL
2067,10,False,False,True,True,"2018-02-26",NULL
2068,20,False,False,True,True,"2018-02-26",NULL
2272,224,True,True,True,False,"2019-01-02",NULL
2274,271,True,True,True,False,"2019-01-02",NULL
2275,318,True,True,True,False,"2019-01-02",NULL
2279,413,True,True,True,False,"2019-01-02",NULL
2280,414,True,True,True,False,"2019-01-02",NULL
2281,415,True,True,True,False,"2019-01-02",NULL
2282,416,True,True,True,False,"2019-01-02",NULL
2283,501,True,True,True,False,"2019-01-02",NULL
2284,527,True,True,True,False,"2019-01-02",NULL
2285,555,True,True,True,False,"2019-01-02",NULL
2286,559,True,True,True,False,"2019-01-02",NULL
2287,568,True,True,True,False,"2019-01-02",NULL
2291,580,True,True,True,False,"2019-01-02",NULL
2292,582,True,True,True,False,"2019-01-02",NULL
2293,583,True,True,True,False,"2019-01-02",NULL
2297,598,True,True,True,False,"2019-01-02",NULL
2300,603,True,True,True,False,"2019-01-02",NULL
2303,616,True,True,True,False,"2019-01-02",NULL
2306,622,True,True,True,False,"2019-01-02",NULL
2325,667,True,True,True,False,"2019-01-02",NULL
2365,733,False,True,True,False,"2019-01-02",NULL
2367,761,True,True,True,False,"2019-01-02",NULL
2387,837,True,True,True,False,"2019-01-02",NULL
2388,842,True,True,True,False,"2019-01-02",NULL
2410,892,True,True,True,False,"2019-01-02",NULL
2491,763,True,True,True,False,"2019-01-12",NULL
3297,627,True,True,True,False,"2020-01-01",NULL
3298,624,True,True,True,False,"2020-01-01",NULL
3299,626,True,True,True,False,"2020-01-01",NULL
3300,625,True,True,True,False,"2020-01-01",NULL
3347,744,True,True,True,False,"2020-01-01",NULL
3348,676,True,True,True,False,"2020-01-01",NULL
3349,745,True,True,True,False,"2020-01-01",NULL
3355,592,True,True,True,False,"2020-01-01",NULL
3357,717,True,True,True,False,"2020-01-01",NULL
3360,674,True,True,True,False,"2020-01-01",NULL
3362,677,True,True,True,False,"2020-01-01",NULL
3363,678,True,True,True,False,"2020-01-01",NULL
3364,679,True,True,True,False,"2020-01-01",NULL
3365,681,True,True,True,False,"2020-01-01",NULL
3366,685,True,True,True,False,"2020-01-01",NULL
3367,686,True,True,True,False,"2020-01-01",NULL
3368,687,True,True,True,False,"2020-01-01",NULL
3369,688,True,True,True,False,"2020-01-01",NULL
3370,689,True,True,True,False,"2020-01-01",NULL
3371,690,True,True,True,False,"2020-01-01",NULL
3372,695,True,True,True,False,"2020-01-01",NULL
3373,696,True,True,True,False,"2020-01-01",NULL
3374,698,True,True,True,False,"2020-01-01",NULL
3375,710,True,True,True,False,"2020-01-01",NULL
3377,713,True,True,True,False,"2020-01-01",NULL
3378,716,True,True,True,False,"2020-01-01",NULL
3379,718,True,True,True,False,"2020-01-01",NULL
3380,680,True,True,True,False,"2020-01-01",NULL
3381,683,True,True,True,False,"2020-01-01",NULL
3382,692,True,True,True,False,"2020-01-01",NULL
3383,700,True,True,True,False,"2020-01-01",NULL
