"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3","policyID-2","policyName","policyTypeID","IsMedicarePolicy","createdAt-4","createdBy-4","updatedAt-4","updatedBy-4","contractID","contractID-2","contractName","clientID","clientID-2","clientName"
1417,1249,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 17:15:10.601152+00","216672","2023-12-14 17:15:10.601152+00",NULL,NULL,False,1249,2070,387,"2023-12-14 17:15:10.601152+00","216672","2023-12-14 17:15:10.601152+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2070,"ESI - Centene - H0482",6,True,"2023-11-16 21:59:59.347618+00",NULL,"2023-11-16 21:59:59.347618+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1430,1259,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 17:39:09.258093+00","216672","2023-12-14 17:39:09.258093+00",NULL,NULL,False,1259,2079,387,"2023-12-14 17:39:09.258093+00","216672","2023-12-14 17:39:09.258093+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2079,"ESI - Centene - H1215",6,True,"2023-11-16 22:07:51.553271+00",NULL,"2023-11-16 22:07:51.553271+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1443,1272,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 18:39:13.137923+00","216672","2023-12-14 18:39:13.137923+00",NULL,NULL,False,1272,2092,386,"2023-12-14 18:39:13.137923+00","216672","2023-12-14 18:39:13.137923+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2092,"ESI - Centene - H2162",6,True,"2023-11-16 22:21:39.555647+00",NULL,"2023-11-16 22:21:39.555647+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1456,1279,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 19:56:00.855345+00","216672","2023-12-14 19:56:00.855345+00",NULL,NULL,False,1279,2097,387,"2023-12-14 19:56:00.855345+00","216672","2023-12-14 19:56:00.855345+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2097,"ESI - Centene - H2915",6,True,"2023-11-16 22:25:18.760178+00",NULL,"2023-11-16 22:25:18.760178+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1469,1292,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 20:57:34.522927+00","216672","2023-12-14 20:57:34.522927+00",NULL,NULL,False,1292,2106,386,"2023-12-14 20:57:34.522927+00","216672","2023-12-14 20:57:34.522927+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2106,"ESI - Centene - H4699",6,True,"2023-11-16 22:31:40.300423+00",NULL,"2023-11-16 22:31:40.300423+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1481,1302,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 21:28:04.18832+00","216672","2023-12-14 21:28:04.18832+00",NULL,NULL,False,1302,2115,397,"2023-12-14 21:28:04.18832+00","216672","2023-12-14 21:28:04.18832+00",NULL,397,"MACNDSNPAZv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNDSNPAZv1.pdf","2023-12-14 21:28:04.18832+00","216672","2023-12-14 21:28:04.18832+00",NULL,2115,"ESI - Centene - H5590",6,True,"2023-11-17 15:49:55.171588+00",NULL,"2023-11-17 15:49:55.171588+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1494,1312,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:36:21.449986+00","216672","2023-12-14 22:36:21.449986+00",NULL,NULL,False,1312,2124,386,"2023-12-14 22:36:21.449986+00","216672","2023-12-14 22:36:21.449986+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2124,"ESI - Centene - H6594",6,True,"2023-11-17 17:06:31.628331+00",NULL,"2023-11-17 17:06:31.628331+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1506,1324,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:42:40.676671+00","216672","2023-12-14 22:42:40.676671+00",NULL,NULL,False,1324,2138,387,"2023-12-14 22:42:40.676671+00","216672","2023-12-14 22:42:40.676671+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2138,"ESI - Centene - H7360",6,True,"2023-11-17 21:07:52.333375+00",NULL,"2023-11-17 21:07:52.333375+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1518,1336,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:54:08.27585+00","216672","2023-12-14 22:54:08.27585+00",NULL,NULL,False,1336,2148,387,"2023-12-14 22:54:08.27585+00","216672","2023-12-14 22:54:08.27585+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2148,"ESI - Centene - H9357",6,True,"2023-11-17 21:25:24.391937+00",NULL,"2023-11-17 21:25:24.391937+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1530,1348,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 23:05:14.727042+00","216672","2023-12-14 23:05:14.727042+00",NULL,NULL,False,1348,1996,406,"2023-12-14 23:05:14.727042+00","216672","2023-12-14 23:05:14.727042+00",NULL,406,"MAEMBMDv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MAEMBMDv1.pdf","2023-12-14 23:05:14.727042+00","216672","2023-12-14 23:05:14.727042+00",NULL,1996,"ESI - Emblem Health - S5966",6,True,"2023-10-19 21:17:11.130429+00",NULL,"2023-10-19 21:17:11.130429+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
