"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3"
42,42,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2017-01-30 05:00:00+00",NULL,"2017-01-30 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,47,False,42,632,228,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,228,"UCare_Multi_Language_Insert.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/UCare_Multi_Language_Insert.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
57,57,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2017-07-16 04:00:00+00",NULL,"2017-07-16 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,63,False,57,780,97,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,97,"H5520_NDL.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/H5520_NDL.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
67,67,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-04 05:00:00+00",NULL,"2018-01-04 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,73,False,67,818,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
68,68,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-04 05:00:00+00",NULL,"2018-01-04 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,74,False,68,819,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
69,69,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-04 05:00:00+00",NULL,"2018-01-04 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,75,False,69,820,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
77,77,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-08 05:00:00+00",NULL,"2018-01-08 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,83,False,77,850,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
78,78,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-08 05:00:00+00",NULL,"2018-01-08 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,84,False,78,851,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
79,79,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-08 05:00:00+00",NULL,"2018-01-08 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,85,False,79,852,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
96,96,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-08 05:00:00+00",NULL,"2018-01-08 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,102,False,96,842,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
103,103,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-01-08 05:00:00+00",NULL,"2018-01-08 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,109,False,103,837,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
155,155,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-12-31 05:00:00+00",NULL,"2018-12-31 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,169,False,155,944,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
168,168,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2019-02-22 05:00:00+00",NULL,"2019-02-22 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,182,False,168,943,37,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,37,"CVS_2018_SPT_Survey_Language.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CVS_2018_SPT_Survey_Language.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL
