"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3","policyID-2","policyName","policyTypeID","IsMedicarePolicy","createdAt-4","createdBy-4","updatedAt-4","updatedBy-4","contractID","contractID-2","contractName","clientID","clientID-2","clientName"
1331,1168,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-11-21 05:00:00+00",NULL,"2023-11-17 16:24:25.231958+00","450972","2023-11-17 16:24:25.231958+00",NULL,NULL,False,1168,642,367,"2023-11-17 16:24:25.231958+00","450972","2023-11-17 16:24:25.231958+00",NULL,367,"Combined_MLI_Outcomes_2024 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Combined_MLI_Outcomes_2024%20%281%29.pdf","2023-11-16 21:38:29.970187+00","450972","2023-11-16 21:38:29.970187+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
1070,1038,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2022-10-06 04:00:00+00","2023-11-21 04:59:59.999+00","2022-10-04 17:00:57.133807+00","441324","2023-11-17 16:24:12.503119+00","450972",NULL,False,1038,642,299,"2022-10-04 17:00:57.133807+00","441324","2022-10-04 17:00:57.133807+00",NULL,299,"Humana Medicare ENSP 2023.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana%20Medicare%20ENSP%202023.pdf","2022-10-03 18:25:15.353249+00","117957","2022-10-03 18:25:15.353249+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
902,878,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2022-01-03 05:00:00+00","2022-10-06 03:59:59.999+00","2022-01-03 00:00:00+00",NULL,"2022-10-04 17:00:44.340165+00","441324",919,False,878,642,235,"2022-01-03 18:18:46.460395+00",NULL,"2022-01-03 18:18:46.460395+00",NULL,235,"Humana Medicare EN.SP Portrait CY2022.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana%20Medicare%20EN.SP%20Portrait%20CY2022.pdf","2021-12-08 14:50:45.351852+00",NULL,"2021-12-08 14:50:45.351852+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
831,809,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2021-01-28 05:00:00+00","2022-01-02 05:00:00+00","2021-01-28 00:00:00+00",NULL,"2022-01-03 18:18:46.456548+00",NULL,851,False,809,642,135,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,135,"Humana 2021 ENSP Disclaimer.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana 2021 ENSP Disclaimer.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
644,640,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2020-07-21 04:00:00+00","2021-01-27 05:00:00+00","2020-07-21 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,663,False,640,642,136,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,136,"Humana_Long_and_Tagline_2page_IDcard_EN_GCHK.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana_Long_and_Tagline_2page_IDcard_EN_GCHK.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
182,182,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2019-08-12 04:00:00+00","2020-07-20 04:00:00+00","2019-08-12 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,197,False,182,642,134,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,134,"Human_SPT_Disclaimer_OUT145.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Human_SPT_Disclaimer_OUT145.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
112,112,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2018-07-03 04:00:00+00","2019-08-11 04:00:00+00","2018-07-03 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,125,False,112,642,138,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,138,"Humana_SPT_Disclaimer_2018.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana_SPT_Disclaimer_2018.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
22,22,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF/image file in SPT",True,"2017-01-30 05:00:00+00","2018-07-02 04:00:00+00","2017-01-30 00:00:00+00",NULL,"2021-10-02 01:21:03.675133+00",NULL,27,False,22,642,132,"2021-09-07 13:32:28.603831+00",NULL,"2021-09-07 13:32:28.603831+00",NULL,132,"HUMANA_Multi_Language_Insert.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/HUMANA_Multi_Language_Insert.pdf","2021-09-07 13:23:10.079572+00",NULL,"2021-09-07 13:23:10.079572+00",NULL,642,"Humana MTM-H1951",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
1332,1169,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-11-21 05:00:00+00",NULL,"2023-11-17 16:25:03.917358+00","450972","2023-11-17 16:25:03.917358+00",NULL,NULL,False,1169,643,367,"2023-11-17 16:25:03.917358+00","450972","2023-11-17 16:25:03.917358+00",NULL,367,"Combined_MLI_Outcomes_2024 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Combined_MLI_Outcomes_2024%20%281%29.pdf","2023-11-16 21:38:29.970187+00","450972","2023-11-16 21:38:29.970187+00",NULL,643,"Humana MTM-H2029",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
1071,1039,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2022-10-06 04:00:00+00","2023-11-21 04:59:59.999+00","2022-10-04 17:03:59.857146+00","441324","2023-11-17 16:24:53.195844+00","450972",NULL,False,1039,643,299,"2022-10-04 17:03:59.857146+00","441324","2022-10-04 17:03:59.857146+00",NULL,299,"Humana Medicare ENSP 2023.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Humana%20Medicare%20ENSP%202023.pdf","2022-10-03 18:25:15.353249+00","117957","2022-10-03 18:25:15.353249+00",NULL,643,"Humana MTM-H2029",7,True,"2021-10-02 01:20:59.541206+00",NULL,"2021-10-02 01:20:59.541206+00",NULL,19,19,"Humana Default Contract",72,72,"Humana MTM"
