"logoPlanID","policyS3LogoMappingID","pbp","cmsContractNumber","carrier","account","group","displayPlanName","isDefaultLogo","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyLogoID","isDeleted","s3LogoMappingID","policyID","policyS3LogoID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3LogoID-2","s3LogoName","s3LogoURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3"
7627,1255,NULL,NULL,"ERX","ERX","H1587001","Tribute Health Plans",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 17:49:04.64697+00",NULL,"2022-01-11 17:49:04.64697+00",NULL,7819,False,1255,1091,374,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,374,"Logo_H1587_2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H1587_2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7628,1255,NULL,NULL,"ERX","ERX","H1587003","Tribute Health Plans",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 17:49:14.726833+00",NULL,"2022-01-11 17:49:14.726833+00",NULL,7820,False,1255,1091,374,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,374,"Logo_H1587_2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H1587_2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7630,765,NULL,"H9877",NULL,NULL,NULL,"Virginia Premier Advantage Elite (HMO D-SNP)",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 18:53:21.204746+00",NULL,"2022-01-11 18:53:21.204746+00",NULL,7822,False,765,1088,416,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,416,"Logo_H9877.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H9877.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7631,1503,NULL,NULL,"erx","erx","H2392003","Kansas Health Advantage Choice (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:14:14.424728+00",NULL,"2022-01-11 19:14:14.424728+00",NULL,7823,False,1503,1092,638,"2022-01-11 19:14:14.424728+00",NULL,"2022-01-11 19:14:14.424728+00",NULL,638,"H2392003_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H2392003_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7632,1504,NULL,NULL,"erx","erx","H2392001","Kansas Health Advantage (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:14:44.660767+00",NULL,"2022-01-11 19:14:44.660767+00",NULL,7824,False,1504,1092,643,"2022-01-11 19:14:44.660767+00",NULL,"2022-01-11 19:14:44.660767+00",NULL,643,"H2392001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H2392001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7633,1505,NULL,NULL,"erx","erx","H2392002","Kansas Health Advantage Premier ((HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:15:24.011758+00",NULL,"2022-01-11 19:15:24.011758+00",NULL,7825,False,1505,1092,635,"2022-01-11 19:15:24.011758+00",NULL,"2022-01-11 19:15:24.011758+00",NULL,635,"H2392002_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H2392002_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7634,769,NULL,"H3708",NULL,NULL,NULL,"American Health Advantage of Oklahoma (HMO I-SNP)",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:16:10.397329+00",NULL,"2022-01-11 19:16:10.397329+00",NULL,7826,False,769,1093,390,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,390,"Logo_H3708.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H3708.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7635,874,NULL,"H9909",NULL,NULL,NULL,"American Health Advantage of Mississippi (HMO I-SNP)",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:17:58.299687+00",NULL,"2022-01-11 19:17:58.299687+00",NULL,7827,False,874,1197,417,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,417,"Logo_H9909.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H9909.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7636,1506,NULL,NULL,"erx","erx","H8093001","Georgia Health Advantage (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:27:38.676744+00",NULL,"2022-01-11 19:27:38.676744+00",NULL,7828,False,1506,1303,645,"2022-01-11 19:27:38.676744+00",NULL,"2022-01-11 19:27:38.676744+00",NULL,645,"H8093001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H8093001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7637,1507,NULL,NULL,"erx","erx","H8093002","Georgia Health Advantage Choice (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:28:10.969742+00",NULL,"2022-01-11 19:28:10.969742+00",NULL,7829,False,1507,1303,640,"2022-01-11 19:28:10.969742+00",NULL,"2022-01-11 19:28:10.969742+00",NULL,640,"H8093002_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H8093002_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
